company_name,
Professional Galaxy AB,
Avaron AB,
Formulate IT,
Knowit,
Prevas AB,
CGI,
Experis Sweden,
ALTEN Sweden,
Syntronic - A Global Design House,
Combitech Sverige,
Framtiden AB,
HiQ,
TMC Sweden,
Deploja,
Skill,
Elvis Eckardt Recruitment,
Ictech,
Nexer Group,
Together Tech,
Friday,
Astek,
XLENT,
Rasulson Consulting AB,
Nexer Tech Talent,
